Fon Kodu,Fon Adı,Şemsiye Fon Türü,Alt Kategori,Portföy Yönetim Şirketi,Döviz Cinsi
GZP,GARANTİ PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,GARANTİ,TL
GZR,GARANTİ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,GARANTİ,TL
GZV,GARANTİ PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Tematik,GARANTİ,TL
GZY,GARANTİ PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Tematik,GARANTİ,TL
GZZ,GARANTİ PORTFÖY FİNANSAL TEKNOLOJİLER DEĞİŞKEN FON,Değişken Şemsiye Fonu,Tematik,GARANTİ,TL
HAI,AHLATCI PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Altın,AHLATCI,TL
HAM,HEDEF PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,Altın,HEDEF,TL
HAR,BV PORTFÖY HARMONY SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,BV,TL
HAT,HEDEF PORTFÖY ATLAS İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,HEDEF,TL
HBF,HSBC PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Altın,HSBC,TL
HBN,HSBC PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,HSBC,TL
HBU,HSBC PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,HSBC,TL
HCV,HEDEF PORTFÖY ATAK ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,Çoklu Varlık,HEDEF,TL
HDA,HEDEF PORTFÖY DÖRDÜNCÜ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,HEDEF,TL
HDD,AHLATCI PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,AHLATCI,TL
HDK,HEDEF PORTFÖY VEGA İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,HEDEF,TL
HEH,HEDEF PORTFÖY ALGO EVEREST İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,HEDEF,TL
HFI,HEDEF PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,HEDEF,TL
HFO,AHLATCI PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,AHLATCI,TL
HFR,A1 CAPİTAL PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,A1 CAPİTAL,TL
HGM,HEDEF PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,HEDEF,TL
HGR,HEDEF PORTFÖY ALGORİTMİK STRATEJİLER SERBEST FON,Serbest Şemsiye Fonu,Tematik,HEDEF,TL
HGV,HEDEF PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,HEDEF,TL
HIA,HEDEF PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Şemsiye Fonu,İstatiksel Arbitraj,HEDEF,TL
HIF,HEDEF PORTFÖY İKİNCİ SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,HEDEF,TL
HIH,GARANTİ  PORTFÖY HOLDİNGLER VE İŞTİRAKLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,GARANTİ,TL
HIM,HEDEF PORTFÖY İKİNCİ MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,HEDEF,TL
HIZ,AZİMUT PORTFÖY DİNAMİK DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,AZİMUT,TL
HJB,HEDEF PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,HEDEF,TL
HKG,ZİRAAT PORTFÖY HALK'IN ÜRETEN KADINLARI DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,ZİRAAT,TL
HKH,HEDEF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,HEDEF,TL
HKJ,HEDEF PORTFÖY PARA PİYASASI SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,HEDEF,TL
HKM,HEDEF PORTFÖY BAŞAK HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,HEDEF,TL
HKR,HSBC PORTFÖY KIRMIZI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,HSBC,TL
HMC,HEDEF PORTFÖY EKİNOKS SERBEST (TL) FON,Serbest Şemsiye Fonu,Diğer Serbest,HEDEF,TL
HMG,HSBC PYŞ MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON(HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,HSBC,TL
HML,HEDEF PORTFÖY KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,HEDEF,USD
HMS,HSBC PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,HSBC,TL
HNC,HEDEF PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,HEDEF,TL
HOA,HSBC PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,HSBC,TL
HOY,HSBC PORTFÖY YABANCI BYF FON SEPETI,Fon Sepeti Şemsiye Fonu,Yabancı Hisse Ağırlıklı,HSBC,TL
HP3,HEDEF PORTFÖY LİDYA SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,HEDEF,USD
HPD,HSBC PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Çoklu Varlık,HSBC,TL
HPH,HEDEF PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,Para Piyasası,HEDEF,TL
HPO,HSBC PORTFÖY ÇOKLU VARLIK BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Çoklu Varlık,HSBC,TL
HPT,HSBC PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,HSBC,TL
HRZ,AKTİF PORTFÖY BIST HALKA ARZ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,AKTİF,TL
HSA,HSBC PORTFÖY DEĞİŞKEN (TL) FON,Değişken Şemsiye Fonu,Değişken,HSBC,TL
HSL,HSBC PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,HSBC,TL
HST,HSBC PORTFÖY  BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,HSBC,TL
HTF,HSBC PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,Para Piyasası,HSBC,TL
HTJ,HEDEF PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,HEDEF,TL
HTK,QNB PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Tematik,QNB,TL
HTS,HSBC PORTFÖY ALTINCI SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,HSBC,USD
HVI,DENİZ PORTFÖY HOLDİNGLER VE İŞTİRAKLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,DENİZ,TL
HVK,HEDEF PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,HEDEF,TL
HVS,HSBC PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,HSBC,TL
HVT,ALLBATROSS PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,ALLBATROSS,TL
HVU,ALLBATROSS PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,ALLBATROSS,TL
HVZ,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,ALLBATROSS,TL
HYP,AZİMUT PORTFÖY İVME SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,AZİMUT,TL
HYU,HSBC PORTFÖY KISA VADELİ SERBEST (TL) FON,Serbest Şemsiye Fonu,Kısa Vade,HSBC,TL
HYV,HEDEF PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,HEDEF,TL
IAE,İSTANBUL PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,İSTANBUL,TL
IAM,İŞ PORTFÖY AGRESİF FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,İŞ,TL
IAR,İSTANBUL PORTFÖY DÖRDÜNCÜ SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,İSTANBUL,TL
IAT,İŞ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,Kira Sertifikası,İŞ,TL
IAU,PARDUS PORTFÖY İKİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,PARDUS,TL
IAY,INVEO PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,Altın,INVEO,TL
IBB,İŞ PORTFÖY ATAK DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,İŞ,TL
ICA,ICBC TURKEY PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Altın,ICBC TURKEY,TL
ICC,ICBC TURKEY PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,ICBC TURKEY,TL
ICD,ICBC TURKEY PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,ICBC TURKEY,TL
ICE,ICBC TURKEY PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,ICBC TURKEY,TL
ICF,ICBC TURKEY PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,ICBC TURKEY,TL
ICH,PARDUS PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,PARDUS,TL
ICS,ICBC TURKEY PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,ICBC TURKEY,USD
ICV,ICBC TURKEY PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,ICBC TURKEY,TL
ICZ,AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Teknoloji Temalı,AK,TL
IDD,LOGOS PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,LOGOS,TL
IDF,İŞ PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,İŞ,USD
IDH,İŞ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,İŞ,TL
IDI,AZİMUT PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,AZİMUT,TL
IDL,AKTİF PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,AKTİF,TL
IDO,İŞ PORTFÖY ONDOKUZUNCU SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Döviz,İŞ,EUR
IDY,TEB PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,TEB,TL
IED,İŞ PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,İŞ,TL
IEN,İSTANBUL PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Tematik,İSTANBUL,TL
IEV,İŞ PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Tematik,İŞ,TL
IFN,ICBC TURKEY PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,ICBC TURKEY,TL
IFV,ICBC TURKEY PORTFÖY BİRİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,ICBC TURKEY,TL
IH1,İNCİR PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,İNCİR,TL
IHA,ALLBATROSS PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,ALLBATROSS,TL
IHC,INVEO PORTFÖY INTER SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,INVEO,TL
IHK,İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,İŞ,TL
IHP,İSTANBUL PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,İSTANBUL,TL
IHT,İŞ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,İŞ,TL
IHV,INVEO PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,INVEO,TL
IHZ,ALLBATROSS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,ALLBATROSS,TL
IIE,BULLS PORTFÖY İKİNCİ SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,İSTANBUL,TL
IIH,İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,İSTANBUL,TL
IIN,INVEO PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,Para Piyasası,INVEO,TL
IJA,INVEO PORTFÖY ATAK DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,INVEO,TL
IJB,İŞ PORTFÖY DİJİTAL OYUN SEKTÖRÜ KARMA FON,Karma Şemsiye Fonu,Teknoloji Temalı,İŞ,TL
IJC,İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,İŞ,TL
IJH,ICBC TURKEY PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,ICBC TURKEY,TL
IJP,İŞ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,Karma Şemsiye Fonu,Teknoloji Temalı,İŞ,TL
IJT,İŞ PORTFÖY TARIM SERBEST FON,Serbest Şemsiye Fonu,Tematik,İŞ,TL
IJV,İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,İSTANBUL,TL
IJZ,İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,İŞ,TL
IKL,İŞ PORTFÖY SAĞLIK ŞİRKETLERİ KARMA FON,Karma Şemsiye Fonu,Tematik,İŞ,TL
IKP,İŞ PORTFÖY YENİLENEBİLİR ENERJİ KARMA FON,Karma Şemsiye Fonu,Tematik,İŞ,TL
IKV,İŞ PORTFÖY İKİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,İŞ,TL
ILU,İSTANBUL PORTFÖY ONALTINCI SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,İSTANBUL,TL
ILZ,İŞ PORTFÖY TEMKİNLİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,İŞ,TL
IMB,İSTANBUL PORTFÖY ALGORİTMİK MODEL HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,İSTANBUL,TL
IMF,İSTANBUL PORTFÖY MAESTRO SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,İSTANBUL,TL
IML,İŞ PORTFÖY MODEL PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,İŞ,TL
IOG,İŞ PORTFÖY GÜMÜŞ SERBEST FON,Serbest Şemsiye Fonu,Gümüş,İŞ,TL
IOO,İŞ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,İŞ,TL
IPB,İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,İSTANBUL,TL
IPG,İŞ PORTFÖY ATAK FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,İŞ,TL
IPJ,İŞ PORTFÖY ELEKTRİKLİ ARAÇLAR KARMA FON,Karma Şemsiye Fonu,Tematik,İŞ,TL
IPV,İŞ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,Borçlanma Araçları Şemsiye Fonu,Eurobond,İŞ,TL
IRB,İSTANBUL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,İSTANBUL,TL
IRF,İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,İSTANBUL,TL
IRO,İSTANBUL PORTFÖY ROBOTİK TEKNOLOJİLERİ SERBEST FON,Serbest Şemsiye Fonu,Teknoloji Temalı,İSTANBUL,TL
IRT,INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,INVEO,TL
IRV,İSTANBUL PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Şemsiye Fonu,İstatiksel Arbitraj,İSTANBUL,TL
IRY,INVEO PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,INVEO,TL
IST,İSTANBUL PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,İSTANBUL,TL
ITC,INVEO PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,INVEO,TL
ITP,İŞ PORTFÖY TEKNOLOJİ KARMA FON,Karma Şemsiye Fonu,Teknoloji Temalı,İŞ,TL
IUF,İŞ PORTFÖY YEDİNCİ SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Döviz,İŞ,EUR
IUH,INVEO PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Teknoloji Temalı,INVEO,TL
IUV,İŞ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ)  FON,Serbest Şemsiye Fonu,Döviz,İŞ,USD
IV8,INVEO PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Şemsiye Fonu,Kira Sertifikası,INVEO,TL
IVF,İSTANBUL PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,İSTANBUL,TL
IVY,İSTANBUL PORTFÖY BLOCKCHAIN TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,İSTANBUL,TL
IYB,AURA PORTFÖY DEĞİŞKEN FONU,Değişken Şemsiye Fonu,Değişken,AURA,TL
IZB,İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,İSTANBUL,TL
IZS,İSTANBUL PORTFÖY ALTINCI SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,İSTANBUL,TL
JET,ATA PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,ATA,TL
JUP,AURA PORTFÖY JÜPİTER SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,AURA,USD
KAV,KUVEYT TÜRK PORTFÖY ALTINCI KATILIM SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Döviz,KUVEYT TÜRK,EUR
KCL,KARE PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,Çoklu Varlık,KARE,TL
KCR,AK PORTFÖY KÜLÇE ALTIN KATILIM FONU,Katılım Şemsiye Fonu,Altın,AK,TL
KCV,KUVEYT TÜRK PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,Çoklu Varlık,KUVEYT TÜRK,TL
KDE,KUVEYT TÜRK PORTFÖY DENGELİ KATILIM FONU,Katılım Şemsiye Fonu,Diğer Katılım,KUVEYT TÜRK,TL
KDL,KUVEYT TÜRK PORTFÖY BEŞİNCİ KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,KUVEYT TÜRK,USD
KDO,İŞ PORTFÖY KATILIM SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Döviz,İŞ,EUR
KDT,GARANTİ PORTFÖY KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,GARANTİ,USD
KGM,KUVEYT TÜRK PORTFÖY GÜMÜŞ KATILIM FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Gümüş,KUVEYT TÜRK,TL
KH1,AK PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,AK,TL
KHA,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,PARDUS,TL
KHB,KARE PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,KARE,TL
KHC,PARDUS PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,PARDUS,TL
KHJ,ATLAS PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,ATLAS,TL
KHT,ALLBATROSS PORTFÖY KARTAL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,ALLBATROSS,TL
KIA,TRIVE PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,İstatiksel Arbitraj,TRIVE,TL
KIB,TRIVE PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,TRIVE,TL
KIE,TRIVE PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,TRIVE,TL
KIH,KARE PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Şemsiye Fonu,İstatiksel Arbitraj,KARE,TL
KIK,KUVEYT TÜRK PORTFÖY İKİNCİ KATILIM FONU,Katılım Şemsiye Fonu,Diğer Katılım,KUVEYT,TL
KIS,ASTRA PORTFÖY KİRA SERTİFİKASI KATILIM (DÖVİZ) FONU,Katılım Şemsiye Fonu,Kira Sertifikası,QİNVEST,TL
KKC,KARE PORTFÖY KATILIM SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Döviz,KARE,EUR
KKH,İŞ PORTFÖY DENGELİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,İŞ,TL
KKL,ALLBATROSS PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,Kısa Vade,ALLBATROSS,TL
KLH,ATLAS PORTFÖY KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,ATLAS,TL
KLI,AK PORTFÖY PARA PİYASASI KATILIM SERBEST FON,Serbest Şemsiye Fonu,Para Piyasası,AK,TL
